no_reviews,ranks,ratings,t_links,titles
381,4., 92%,/m/la_la_land,La La Land (2016)
247,5., 97%,/m/hell_or_high_water,Hell or High Water (2016)
293,6., 95%,/m/manchester_by_the_sea,Manchester by the Sea (2016)
293,7., 95%,/m/the_jungle_book_2016,The Jungle Book (2016)
293,8., 94%,/m/finding_dory,Finding Dory (2016)
241,9., 96%,/m/moana_2016,Moana (2016)
359,10., 91%,/m/captain_america_civil_war,Captain America: Civil War (2016)
229,11., 96%,/m/paterson,Paterson (2016)
130,12., 100%,/m/things_to_come_2016,Things to Come (L'avenir) (2016)
193,13., 97%,/m/kubo_and_the_two_strings_2016,Kubo and the Two Strings (2016)
188,14., 97%,/m/love_and_friendship,Love & Friendship (2016)
178,15., 97%,/m/hunt_for_the_wilderpeople,Hunt for the Wilderpeople (2016)
232,16., 94%,/m/fences_2016,Fences (2016)
275,17., 92%,/m/the_nice_guys,The Nice Guys (2016)
154,18., 97%,/m/weiner,Weiner (2016)
126,19., 98%,/m/dont_think_twice,Don't Think Twice (2016)
291,20., 91%,/m/the_witch_2016,The Witch (2016)
78,21., 100%,/m/tower_2016,Tower (2016)
195,22., 95%,/m/eye_in_the_sky,Eye In The Sky (2016)
93,23., 99%,/m/cameraperson,Cameraperson (2016)
187,24., 95%,/m/sing_street,Sing Street (2016)
305,25., 90%,/m/doctor_strange_2016,Doctor Strange (2016)
184,26., 95%,/m/the_handmaiden,The Handmaiden (Ah-ga-ssi) (2016)
179,27., 95%,/m/the_edge_of_seventeen,The Edge of Seventeen (2016)
52,28., 100%,/m/only_yesterday_1991,Only Yesterday (2016)
74,29., 99%,/m/the_wailing,The Wailing (Goksung) (2016)
49,30., 100%,/m/oj_made_in_america,O.J.: Made in America (2016)
93,31., 98%,/m/the_fits_2016,The Fits (2016)
69,32., 99%,/m/under_the_shadow,Under The Shadow (2016)
137,33., 96%,/m/embrace_of_the_serpent,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016)
278,34., 90%,/m/10_cloverfield_lane,10 Cloverfield Lane (2016)
41,35., 100%,/m/the_age_of_shadows,The Age of Shadows (2016)
41,36., 100%,/m/fireworks_wednesday,Fireworks Wednesday (Chaharshanbe-soori) (2016)
205,37., 93%,/m/toni_erdmann,Toni Erdmann (2016)
132,38., 96%,/m/little_men_2016,Little Men (2016)
100,39., 97%,/m/aquarius,Aquarius (2016)
308,40., 88%,/m/jackie_2016,Jackie (2016)
255,41., 90%,/m/loving_2016,Loving (2016)
370,42., 85%,/m/rogue_one_a_star_wars_story,Rogue One: A Star Wars Story (2016)
213,43., 91%,/m/elle_2016,Elle (2016)
71,44., 97%,/m/cemetery_of_splendor,Cemetery of Splendor (2016)
71,45., 97%,/m/krisha_2016,Krisha (2016)
141,46., 94%,/m/neruda_2016,Neruda (2016)
164,47., 93%,/m/queen_of_katwe_2016,Queen of Katwe (2016)
93,48., 96%,/m/the_beatles_eight_days_a_week_the_touring_years,The Beatles: Eight Days a Week - The Touring Years (2016)
42,49., 98%,/m/almost_holy,Almost Holy (Crocodile Gennadiy) (2016)
40,50., 98%,/m/aferim,Aferim! (2016)
62,51., 97%,/m/the_dark_horse_2016,The Dark Horse (2016)
128,52., 94%,/m/lo_and_behold_reveries_of_the_connected_world,"Lo and Behold, Reveries of the Connected World (2016)"
79,53., 96%,/m/13th,13th (2016)
101,54., 95%,/m/de_palma,De Palma (2016)
