actor,ga_gender,ga_accuracy
Joel Kinnaman ,male,99
Gina Carano ,female,98
Kelly Macdonald ,female,88
Liam Neeson ,male,99
Tommy Stevens ,male,98
Leila Hatami ,female,98
Garry Harris ,male,98
Yun Junghee ,male,51
Eddie Bocanegra ,male,98
André Wilms ,male,99
Ed Wolf ,male,98
Gaspar Galaz ,male,97
Tom Wolfe ,male,99
Tom Cruise ,male,99
Dominique Baffier ,male,57
Koji Yakusho ,male,98
Owen Wilson ,male,98
Paul Giamatti ,male,99
Jake Gyllenhaal ,male,98
Zoé Héran ,female,94
Pina Bausch ,female,94
Tom Cullen ,male,99
Adepero Oduye ,,
Christine Bottomley ,female,98
Igor Sergeev ,male,99
Kevin Clash ,male,99
Lubna Azabal ,female,97
Ayrton Senna ,male,98
Joyce McKinney ,female,97
Michael Lonsdale ,male,99
Richard Lopez ,male,99
James McAvoy ,male,99
Jim Cummings ,male,99
Giuseppe Fuda ,male,99
Stellan Skarsgard ,male,93
Wagner Moura ,male,98
Johnny Depp ,male,99
Roger Corman ,male,99
Ye Liu ,male,75
Gilles Lellouche ,male,99
Stokely Carmichael ,male,82
Steve Coogan ,male,99
Buck Brannaman ,male,93
Q-Tip  ,female,62
Craig Roberts ,male,100
Thanapat Saisaymar ,male,96
Josiane Balasko ,female,98
Luis Tosar ,male,99
Emile Abossolo-M'bo ,male,94
Mia Wasikowska ,female,97
Jacob Wysocki ,male,99
Eddie Redmayne ,male,98
Demian Bichir ,male,98
Bobby Fischer ,male,97
Martina Gusman ,female,99
Chris Evans ,male,93
Patsha Bay ,,
Nikohl Boosheri ,female,100
Mélanie Thierry ,female,98
Agnes Kittelsen ,female,98
Alan Tudyk ,male,99
Chris Hemsworth ,male,93
Adriano Luz ,male,99
Peter Mullan ,male,99
Antonio Banderas ,male,99
Elia Suleiman ,male,61
Glenn Erland Trosterud,male,98
Tom Hanks ,male,99
Jay Baruchel ,male,93
Hailee Steinfeld ,female,99
Vik Muniz ,male,81
Tahar Rahim ,male,97
Changua Zhang ,,
James Franco ,male,99
Dan Kearney ,male,97
Banksy  ,male,94
Jennifer Lawrence ,female,98
Shahir Kabaha ,male,100
Hye-ja Kim ,male,64
Christian Bale ,male,99
Jim Broadbent ,male,99
Michael Stephenson ,male,99
Leonardo DiCaprio ,male,99
Negar Shaghaghi ,female,98
Edgar Ramirez ,male,99
Mandy Moore ,female,96
Katie Jarvis ,female,99
Rowan McNamara ,male,69
Joan Rivers ,male,56
Soledad Villamil ,female,98
Giovanna Mezzogiorno ,female,97
Sylvie Testud ,female,98
Jean-Claude Donda ,male,99
Christos Stergioglou ,male,99
Venise du Bois,female,93
Eliot Spitzer ,male,97
Jorge Machado ,male,99
Yoav Donat ,male,99
Onni Tommila ,male,87
Brian Murray ,male,99
Donna Cutugno ,female,98
Ryan Reynolds ,male,99
Louis-Do de Lencquesaing,male,94
Jakob Cedergren ,male,99
Isabelle Huppert ,female,98
Robert Duvall ,male,99
Emir Kusturica ,male,97
Steve Evets ,male,99
Dr. Albert C.,,
Kelly O'Neill ,female,88
Riz Ahmed ,male,83
Michael Duchaussoy ,male,99
Benno Fürmann ,male,99
Song Kang-ho ,male,74
Gemma Arterton ,female,98
Nev Schulman ,male,79
Vincent Lindon ,male,99
Will Ferrell ,male,97
Andy Garcia ,male,95
Patricia Clarkson ,female,98
Jacques Perrin ,male,98
Michael Douglas ,male,99
Aaron Taylor-Johnson ,male,99
Naomi Watts ,female,98
Valerie Plame Wilson,female,97
Lena Dunham ,female,98
Grigoriy Dobrygin ,male,100
Ryan Kwanten ,male,99
Adrien Brody ,male,98
Émilie Dequenne ,female,97
Jean Dujardin ,male,89
Emma Thompson ,female,91
Edward Asner ,male,99
Steve Lips Kudlow,male,99
Rafi Nabzaada ,male,85
Carey Mulligan ,female,57
Alison Lohman ,female,93
Sharlto Copley ,,
Tom Hollander ,male,99
Reza Naji ,male,97
John Ahern ,male,99
Johannes Krisch ,male,99
Gabourey Sidibe ,,
Brad Pitt ,male,100
Eric Schlosser ,male,99
Richard O'Barry ,male,99
Askhat Kuchinchirekov ,male,100
Daniel Ellsberg ,male,99
Perry Benson ,male,91
Red West ,male,79
Pablo Fajardo ,male,99
Teruyuki Kagawa ,male,100
Charles Berling ,male,98
Noah Cyrus ,male,96
Norman Lear ,male,99
Catalina Saavedra ,female,96
Baayork Lee ,,
Tony Leung Chiu,male,99
Toni Servillo ,male,86
Maria Heiskanen ,female,97
Daniel Radcliffe ,male,99
Robin Williams ,male,75
Daniel Craig ,male,99
Michael Nyqvist ,male,99
Yolande Moreau ,female,98
Paulina Gaitan ,female,96
Bill Hader ,male,97
Anika Noni Rose,female,97
Colin Firth ,male,99
Zac Efron ,male,98
Russell Crowe ,male,99
Gianni Di Gregorio,male,99
Christian Friedel ,male,99
Mike Tyson ,male,99
Katie Featherston ,female,99
Nisreen Faour ,female,99
Jocelin Donahue ,male,55
James Earl Jones,male,99
Hee Yeon Kim,male,55
Wayne McGregor ,male,99
Sophie Okonedo ,female,98
Clint Eastwood ,male,99
Anna Wintour ,female,98
James Brown (II),male,99
Stephen McHattie ,male,99
Ok-bin Kim ,male,85
Michael Jai White,male,99
Colin Beavan ,male,99
Mark Duplass ,male,99
Alyson Michalka ,female,85
Stéphane Aubier ,male,98
Jack White ,male,97
Masahiro Motoki ,male,100
Joshua M. Harris,male,100
Melissa George ,female,98
Thora Birch ,female,65
Charles Clover ,male,98
Mickey Rourke ,male,79
Philippe Petit ,male,99
Ben Burtt ,male,97
Kåre Hedebrant ,male,99
Dev Patel ,male,97
Hiroshi Abe ,male,99
Frank Langella ,male,99
Ari Folman ,male,77
Huang Wei ,male,62
Alex Descas ,male,92
Mark Smelly Bell,male,99
Kimberly Rivers Roberts,female,98
Agnès Varda ,female,98
Alejandro Polanco ,male,99
Salvatore Ruocco ,male,99
Venkatesh Chavan ,male,100
Algenis Perez Soto,male,98
Phillip Adams ,male,99
John Travolta ,male,99
David Bagby ,male,99
Ron Perlman ,male,99
Nadine Labaki ,female,98
Micheal J. Smith,male,98
Greg Kinnear ,male,99
Melissa Leo ,female,98
Matt Boren ,male,100
Nicolas Cazale ,male,99
Anne Hathaway ,female,98
Jack Black ,male,97
Joan Chen ,male,56
Colin Farrell ,male,99
Mick Jagger ,male,98
David M. Walker,male,99
Hunter S. Thompson,male,96
Luke Ford ,male,99
Sarah Adler ,female,98
Joaquin Phoenix ,male,99
Javier Bardem ,male,99
Tadanobu Asano ,male,100
Arta Dobroshi ,female,80
Scoot McNairy ,male,95
Jean-Claude Van Damme,male,99
Oshri Cohen ,male,100
Martina Gedeck ,female,99
Roman Polanski ,male,98
Jim Sturgess ,male,99
Freddie Highmore ,male,95
Lizzy Caplan ,female,97
Hank Azaria ,male,99
Jim Carrey ,male,99
Ed Harris ,male,98
Maggie Cheung ,female,99
Ivan Barnev ,male,99
Kate Beckinsale ,female,98
Elmar Wepper ,male,98
Javal Davis ,male,89
Nina Hoss ,female,98
Abigail Breslin ,female,98
Steve Zissis ,male,99
Ezra Miller ,male,86
Tomas Young ,male,99
Yavuz Bingöl ,male,96
Pauline Acquart ,female,96
Ryo Kase ,male,97
Adrian Alonso ,male,98
Hannah Bailey ,female,99
Edward Norton ,male,99
Manie Malone ,male,65
Sarah Kazemy ,female,98
Patton Oswalt ,male,92
Lambert Wilson ,male,90
Gisèle Casadesus ,female,97
Joachim Rafaelsen ,male,99
Tyler Labine ,male,97
Natalie Portman ,female,98
Maria João Bastos,female,97
Marisa Paredes ,female,98
Saleh Bakri ,male,98
Glenn Erland Tosterud,male,98
Tim Allen ,male,99
Gerard Butler ,male,98
Helena Bonham Carter,female,99
William Ackman ,male,99
Fabio Ghivelder ,male,99
Niels Arestrup ,male,99
Suqin Chen ,female,100
Amber Tamblyn ,female,97
Lamonta Caldwell ,,
John Hawkes ,male,99
Ibrahim Ferrer ,male,97
Ruth Sheen ,female,98
Darren Ewing ,male,99
Joseph Gordon-Levitt ,male,99
Ashkan Koshanejad ,male,99
Alexander Scheer ,male,99
Zachary Levi ,male,100
Dannie Tillman ,male,51
Michael Fassbender ,male,99
Marissa Gibson ,female,97
Kathy Griffin ,female,98
Guillermo Francella ,male,99
Fabrizio Costella ,male,99
Chloë Grace Moretz,female,98
Eilidh Rankin ,female,99
Michelle Valley ,female,97
Evan McGuire ,male,97
Joseph Bruno ,male,99
Roberta Palombini ,female,96
Jorma Tommila ,male,97
Karen Schweiger ,female,96
Penn Badgley ,male,72
Ivana Miño ,female,97
Chiara Caselli ,female,99
Amanda Peet ,female,98
Lene Maria Christensen,female,98
Mary Elizabeth Winstead,female,98
Christopher Lambert ,male,99
Anthony Hayes ,male,99
Diane Kruger ,female,98
Eric Cantona ,male,99
John Street ,male,99
Shane Curry ,male,93
Arsher Ali ,male,100
Jonah Hill ,male,91
Vincent Cassel ,male,99
Florian Lukas ,male,99
Lee Byung-hun ,male,82
Flavio Parenti ,male,99
Martin Compston ,male,98
Angela Wesselman-Pierce ,female,98
Sandrine Kiberlain ,female,98
Sean Penn ,male,99
Mark Wahlberg ,male,99
Julianna Margulies ,female,98
Bob Hoskins ,male,97
Alexander Siddig ,male,99
Pierce Brosnan ,male,94
Cécile De France,female,98
Susan Sarandon ,female,98
Nicolas Cage ,male,99
Annette Bening ,female,98
Valerine Plame Wilson,female,100
Laurie Simmons ,female,95
Kerry Washington ,female,75
Sergei Puskepalis ,male,99
Steve Bisley ,male,99
