titles,box_office,total
"The Twilight Saga: Breaking Dawn, Part 1",281.28713300000,281287133
Dinosaur,137.74806300000,137748063
Night at the Museum: Secret of the Tomb,113.74662100000,113746621
Harry Potter and the Deathly Hallows: Part II,381.01121900000,381011219
The Hunger Games: Mockingjay - Part 1,337.13588500000,337135885
Harry Potter and the Sorcerer’s Stone,317.57555000000,317575550
Pirates of the Caribbean: The Curse of the Black Pearl,305.41122400000,305411224
Harry Potter and the Deathly Hallows: Part I,295.98330500000,295983305
The Da Vinci Code,217.53613800000,217536138
X2,214.94969400000,214949694
Fast Five,209.83767500000,209837675
Teenage Mutant Ninja Turtles,191.20475400000,191204754
Sherlock Holmes: A Game of Shadows,186.84841800000,186848418
The Day After Tomorrow,186.74079900000,186740799
Clash of the Titans,163.21488800000,163214888
Godzilla,136.31429400000,136314294
Prometheus,126.47708400000,126477084
The Bourne Legacy,113.20387000000,113203870
Batman & Robin,107.32519500000,107325195
Total Recall,58.87796900000,58877969
The 13th Warrior,32.69889900000,32698899
How the Grinch Stole Christmas,260.04482500000,260044825
Mission: Impossible 2,215.40988900000,215409889
The Perfect Storm,182.61843400000,182618434
Jason Bourne,161.78459500000,161784595
Fantastic Four: Rise of the Silver Surfer,131.92173800000,131921738
Life of Pi,124.98702200000,124987022
Ghost Rider,115.80259600000,115802596
Charlie's Angels: Full Throttle,100.81432800000,100814328
Elysium,93.05011700000,93050117
Oblivion,89.10723500000,89107235
Stuart Little 2,64.95680600000,64956806
RoboCop,58.60700700000,58607007
The Chronicles of Riddick,57.71275100000,57712751
Fantastic Four,56.11754800000,56117548
Speed Racer,43.94576600000,43945766
The Island,35.81891300000,35818913
How Do You Know?,30.21262000000,30212620
Trolls,0.00000000000,0
Knight and Day,76.42303500000,76423035
Star Wars Ep. I: The Phantom Menace,474.54467700000,474544677
Star Wars Ep. III: Revenge of the Sith,380.27057700000,380270577
Star Wars Ep. II: Attack of the Clones,310.67674000000,310676740
"Monsters, Inc.",289.42342500000,289423425
The Wolverine,132.55685200000,132556852
Dante's Peak,67.16385700000,67163857
The Huntsman: Winter’s War,48.00301500000,48003015
Windtalkers,40.91406800000,40914068
Astérix aux Jeux Olympiques,0.99981100000,999811
Gulliver's Travels,42.77926100000,42779261
Gravity,274.09270500000,274092705
Night at the Museum,250.86326800000,250863268
Mr. and Mrs. Smith,186.33627900000,186336279
San Andreas,155.19083200000,155190832
The Smurfs,142.61415800000,142614158
Live Free or Die Hard,134.52940300000,134529403
The Divergent Series: Insurgent,130.17907200000,130179072
Ocean's Twelve,125.53163400000,125531634
Tomorrow Never Dies,125.30427600000,125304276
The Patriot,113.33034200000,113330342
300: Rise of an Empire,106.58005100000,106580051
The Aviator,102.60882700000,102608827
The Green Hornet,98.78004200000,98780042
Real Steel,85.46330900000,85463309
The A-Team,77.22209900000,77222099
The Smurfs 2,71.01778400000,71017784
The Divergent Series: Allegiant,66.18405100000,66184051
The Taking of Pelham 123,65.45231200000,65452312
Ender's Game,61.73719100000,61737191
Home on the Range,50.02635300000,50026353
Speed 2: Cruise Control,48.09708100000,48097081
Kingdom of Heaven,47.39841300000,47398413
Miss Peregrine’s Home for Peculiar Children,36.05348300000,36053483
Around the World in 80 Days,24.00415900000,24004159
The Lord of the Rings: The Fellowship of the Ring,315.54475000000,315544750
The Cat in the Hat,101.01828300000,101018283
Ali,58.18396600000,58183966
The Martian,228.43366300000,228433663
"I, Robot",144.80102300000,144801023
Stuart Little,140.01522400000,140015224
The Princess and the Frog,104.40089900000,104400899
"10,000 B.C.",94.78420100000,94784201
Ice Age: Collision Course,63.87149200000,63871492
Town & Country,6.71245100000,6712451
Gone in 60 Seconds,101.64300800000,101643008
Gladiator,187.68380500000,187683805
The Hangover 3,112.20007200000,112200072
Public Enemies,97.10462000000,97104620
Casino Royale,167.36500000000,167365000
Minority Report,132.02471400000,132024714
Cloud Atlas,27.10827200000,27108272
Harry Potter and the Chamber of Secrets,261.98788000000,261987880
Terminator 2: Judgment Day,201.85874600000,201858746
Batman Forever,184.03111200000,184031112
Planet of the Apes,180.01174000000,180011740
National Treasure,173.00500200000,173005002
Django Unchained,162.80543400000,162805434
Little Fockers,148.43860000000,148438600
True Lies,146.28241100000,146282411
American Gangster,130.16464500000,130164645
Cloudy with a Chance of Meatballs,124.87027500000,124870275
The Other Guys,119.21997800000,119219978
Lemony Snicket's A Series of Unfortunate Events,118.62711700000,118627117
The Wolf of Wall Street,116.90069400000,116900694
Epic,107.51868200000,107518682
Eraser,101.29556200000,101295562
The Hunchback of Notre Dame,100.13885100000,100138851
The Emperor's New Groove,89.29657300000,89296573
The Expendables 2,85.02819200000,85028192
Where the Wild Things Are,77.23346700000,77233467
Eragon,75.03016300000,75030163
Hercules,72.68861400000,72688614
The Tourist,67.63115700000,67631157
End of Days,66.88904300000,66889043
The Stepford Wives,59.47562300000,59475623
Surf's Up,58.86769400000,58867694
Blood Diamond,57.37791600000,57377916
Legend of the Guardians: The Owls of Ga'Hoole,55.67531300000,55675313
Starship Troopers,54.76895200000,54768952
Land of the Lost,49.43837000000,49438370
Peter Pan,48.41785000000,48417850
Catwoman,40.20237900000,40202379
The Expendables 3,39.32254400000,39322544
Treasure Planet,38.12055400000,38120554
Green Zone,35.49733700000,35497337
Point Break,28.78248100000,28782481
In the Heart of the Sea,25.02075800000,25020758
Transcendence,23.02230900000,23022309
Son of the Mask,17.01842200000,17018422
